Index,Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
324511,324511,Syn Cole,Got the Feeling (feat. kirstin) - Zac Samuel Remix,5jwmeRwumP0nSrHJd573eo,22,2018,deep-house,0.677,0.709,0,-9.293,0,0.0309,0.00899,0.000285,0.119,0.724,123.96,173848,4
65617,65617,David Nail,The Sound Of A Million Dreams,5vZR0iL5ZGT71TrT23fOVj,35,2013,country,0.56,0.397,4,-7.329,1,0.0294,0.843,1.39e-06,0.351,0.254,119.912,235107,4
851980,1004670,Bear Vs. Shark,"5, 6 Kids",2JAouq0gwoOtYryNcPOlcX,27,2005,emo,0.253,0.907,4,-6.572,0,0.15,0.00546,0.0,0.324,0.135,89.223,229600,3
191133,191133,Eisbrecher,"Himmel, Arsch und Zwim",2KyG3mliUY0OrPqsjvxTm2,21,2015,industrial,0.585,0.901,4,-4.388,1,0.0646,0.000389,0.229,0.291,0.614,98.993,256613,4
580204,580204,Sleep Fruits Music,"Dark Screen Sleep Music, Pt. 51",1ItXJeoewHTYGPf8hO77Da,24,2022,sleep,0.209,0.0131,4,-34.639,1,0.0464,0.949,0.955,0.111,0.0366,121.223,121608,4
312731,312731,Philip Glass,North Star: Étoile polaire (Arranged by James McVinnie),0pwzhEP9LWccpnJmfxeKYS,23,2018,ambient,0.164,0.00475,0,-16.831,0,0.0468,0.833,0.959,0.179,0.13,126.072,159223,3
83430,83430,Monster Truck,Call It a Spade,74BiQSV4adCJHg9ErVlKqw,21,2013,hard-rock,0.495,0.915,7,-4.597,1,0.0761,0.000116,0.115,0.0668,0.576,147.913,234853,4
47110,47110,Cristiano Araújo,É Fato,3OdYjLl3xfW5KamiCmpRM5,33,2012,sertanejo,0.507,0.9,2,-2.535,1,0.0699,0.055,0.0,0.973,0.694,144.919,204160,4
464041,464041,Duke Dumont,The Fear,1PYc4yYPtebUNJiXaA4c5k,34,2020,progressive-house,0.619,0.523,5,-7.268,0,0.0282,0.00337,0.0524,0.0692,0.3,124.99,247680,4
533279,533279,Project AER,a fisherman lost at sea,2vGtIEuGXENvpTs6mWHLIy,30,2022,ambient,0.711,0.076,2,-22.888,1,0.0421,0.926,0.895,0.0763,0.116,118.035,167000,4
1017801,1256864,Veronica Maggio,V för Vendetta,5F7bTcdeDDs4CA7R1eNWGL,31,2008,swedish,0.538,0.67,4,-5.04,0,0.0394,0.0602,0.0,0.132,0.398,77.752,214960,4
1073081,1339389,Noise Boyz,Honeytrap - Keys and Trumpet Mix,0Rdt4MfPFitA8xyLrwU4di,27,2010,chill,0.626,0.383,9,-12.497,0,0.0369,0.0665,0.853,0.369,0.224,100.007,333169,4
358885,358885,Drew Sarich,Totale Finsternis,7vH1szg2BrSWSRcmuKnmN9,21,2018,show-tunes,0.428,0.498,9,-8.05,1,0.0343,0.266,0.0,0.226,0.201,121.593,328482,4
558044,558044,Shrezzers,Delight - acoustic,381qMHtbIggcDQs3Upfxi0,31,2022,hardcore,0.391,0.839,3,-3.577,1,0.0725,0.526,0.0,0.0838,0.754,89.197,152667,4
503381,503381,yutaka hirasaka,Another Dream,6asjZPi0s4wdk4Etx3eArV,25,2021,guitar,0.633,0.308,11,-13.704,0,0.0322,0.885,0.374,0.39,0.121,84.083,171786,4
